id,name,category,brand,tags
item_301,MasterChow Instant Cup Noodles (Korean 2X Spicy Flavour) - Pack of 2,Fresh Produce 🍅,Fresh Produce,masterchow instant cup noodles (korean 2x spicy flavour) - pack of 2 vegetables fresh
item_302,Yu Chilli Chicken Instant Cup Noodles (70 g) (70 g),Fresh Produce 🍅,Fresh Produce,yu chilli chicken instant cup noodles (70 g) vegetables fresh
item_303,Knorr Korean Ramen Spicy Kimchi Veg Flavoured Instant Noodles (96 g),Fresh Produce 🍅,Fresh Produce,knorr korean ramen spicy kimchi veg flavoured instant noodles vegetables fresh
item_304,Nissin Veggi Manchow Noodles (Cup) - Pack of 3 (3x70 g),Fresh Produce 🍅,Fresh Produce,nissin veggi manchow noodles (cup) - pack of 3 vegetables fresh
item_305,Yu Zingy Cheese Instant Cup Noodles (80 g) (80 g),Fresh Produce 🍅,Fresh Produce,yu zingy cheese instant cup noodles (80 g) vegetables fresh
item_306,Nissin Spiced Chicken Cup Noodles - Pack of 2,Fresh Produce 🍅,Fresh Produce,nissin spiced chicken cup noodles - pack of 2 vegetables fresh
item_307,Top Ramen Masala Noodles (240 g) - Pack of 2 (2 x 240 g),Fresh Produce 🍅,Fresh Produce,top ramen masala noodles (240 g) - pack of 2 vegetables fresh
item_308,Maggi Masala Noodles - Pack of 2 (2 x (12 x 70 g)),Fresh Produce 🍅,Fresh Produce,maggi masala noodles - pack of 2 vegetables fresh
item_309,Moi Soi Veg Hakka Noodles (500 g),Fresh Produce 🍅,Fresh Produce,moi soi veg hakka noodles vegetables fresh
item_310,Slurrp Farm Millet Healthy Instant Noodles (4 x 57 g),Fresh Produce 🍅,Fresh Produce,slurrp farm millet healthy instant noodles vegetables fresh
item_311,Nissin Top Ramen Curry Veg Noodles (420 g),Fresh Produce 🍅,Fresh Produce,nissin top ramen curry veg noodles vegetables fresh
item_312,Nissin Geki Hot & Spicy Korean Veg Flavoured Instant Noodles (1 pack (5 x 80 g)),Fresh Produce 🍅,Fresh Produce,nissin geki hot & spicy korean veg flavoured instant noodles vegetables fresh
item_313,Nissin Geki Hot & Spicy Korean Chicken Flavoured Instant Noodles (1 pack (5 x 80 g)),Fresh Produce 🍅,Fresh Produce,nissin geki hot & spicy korean chicken flavoured instant noodles vegetables fresh
item_314,Nissin Mazedar Masala Noodles (Cup) - Pack of 3 (3x70 g),Fresh Produce 🍅,Fresh Produce,nissin mazedar masala noodles (cup) - pack of 3 vegetables fresh
item_315,MasterChow Instant Cup Noodles (Chowmein Flavour),Fresh Produce 🍅,Fresh Produce,masterchow instant cup noodles (chowmein flavour) vegetables fresh
item_316,MasterChow Instant Cup Noodles (Chowmein Flavour) + Instant Cup Noodles (Korean 2X Spicy Flavour) Combo (100 g + 100 g),Fresh Produce 🍅,Fresh Produce,masterchow instant cup noodles (chowmein flavour) + instant cup noodles (korean 2x spicy flavour) combo vegetables fresh
